FunkyJunky.mp3
61.304283
F,0.936354
F,1.3145357
G,1.8909088
H,2.3890843
J,2.7472672
F,3.622726
G,4.040906
J,4.7172737
J,5.394541
J,5.6536283
J,5.9518147
G,6.409992
G,6.748176
G,7.0463624
G,7.3254485
G,8.001817
G,8.280004
G,8.579089
J,8.917273
J,9.096364
F,9.375451
J,9.7136345
J,10.210912
J,10.928177
G,11.385455
G,11.882732
G,12.240915
G,12.599997
G,12.898183
F,13.356361
F,13.694545
F,13.992731
F,14.330915
J,14.709097
J,15.247271
J,15.68455
J,16.10273
J,16.720001
J,17.098183
J,17.476364
G,17.973642
G,18.331825
G,18.61091
F,18.989092
F,19.387274
F,19.725458
F,20.003645
F,20.34183
J,20.70091
J,21.138191
J,21.437277
J,21.675465
J,22.093645
J,22.551823
J,22.989103
J,23.44728
J,24.322739
J,25.835466
J,27.587284
J,29.239105
H,29.73728
H,30.492746
H,30.890926
H,31.21001
F,32.881824
F,33.220005
F,33.757275
F,34.17545
G,34.812714
G,35.26999
G,35.58817
G,35.90725
J,36.44452
J,36.98179
J,37.359966
J,37.79814
J,38.076324
F,38.355408
F,38.792683
F,39.19086
G,39.689034
G,40.186302
G,40.624477
G,40.962658
H,41.380836
H,41.85811
H,42.276283
J,42.83355
J,43.271725
J,43.649902
F,44.147175
F,44.58445
F,45.10262
F,45.838978
F,46.277153
G,46.714424
J,47.1926
G,47.669872
H,48.128044
J,48.56532
H,49.023495
G,49.520763
F,50.038933
G,50.397114
H,50.81439
J,51.35256
H,52.068916
G,52.467094
F,52.90437
G,53.302544
H,53.680725
J,54.038902
G,54.477077
F,54.915253
G,55.31253
H,55.790703
J,56.28797
H,56.726147
H,57.005234
G,57.5616
F,58.119766
F,58.836124
G,59.313396
H,59.850666
